,Total,Domestic O'ahu,Domestic Maui,Domestic Moloka'i ,Domestic L?na'i ,Domestic Kaua'i,Domestic Hawai'i Island,Domestic Hilo,Domestic Kona, Domestic Total,International O'ahu,International Maui,International Moloka'i ,International L?na'i ,International Kaua'i,International Hawai'i Island,International Hilo,International Kona,International Total,,,,,,,,
1990,56398499 ,30215944 ,13249503 ,399388 ,95940 ,6342867 ,6094858 ,1166719 ,4928139 ,41269155 ,18652204 ,11242990 ,337013 ,80284 ,5720600 ,5236063 ,972439 ,4263625 ,15129344 ,,,,,,,,
1991,53772839 ,27378022 ,12687184 ,518407 ,321130 ,6467723 ,6400372 ,1348617 ,5051755 ,38575333 ,15974209 ,10694969 ,461208 ,294214 ,5667080 ,5483653 ,1088396 ,4395257 ,15197505 ,,,,,,,,
1992,55723013 ,28469480 ,14353220 ,544889 ,378760 ,4933256 ,7043408 ,1687224 ,5356184 ,39011618 ,16000424 ,11896412 ,488567 ,345928 ,4306741 ,5973547 ,1386363 ,4587184 ,16711395 ,,,,,,,,
1993,53836611 ,28509549 ,14503188 ,510032 ,365048 ,3023183 ,6925611 ,1470859 ,5454752 ,36656820 ,15752322 ,11824995 ,440838 ,323006 ,2541244 ,5774415 ,1219319 ,4555096 ,17179791 ,,,,,,,,
1994,57169825 ,29757067 ,14831723 ,421688 ,417021 ,4842964 ,6899363 ,1515734 ,5383629 ,39384934 ,15996137 ,12539436 ,364351 ,362117 ,4280438 ,5842456 ,1248388 ,4594068 ,17784891 ,,,,,,,,
1995,57340911 ,29697086 ,14490736 ,507092 ,606293 ,5270173 ,6769531 ,1474658 ,5294873 ,38561739 ,15336963 ,12043211 ,426280 ,505085 ,4616874 ,5633326 ,1226698 ,4406628 ,18779172 ,,,,,,,,
1996,57936622 ,29584826 ,14347767 ,554409 ,692177 ,5699296 ,7058147 ,1415075 ,5643072 ,38944059 ,15529168 ,11867142 ,434335 ,533815 ,4902449 ,5677151 ,1160058 ,4517093 ,18992563 ,,,,,,,,
1997,57373493 ,27794774 ,14589240 ,558301 ,687258 ,5839532 ,7904388 ,2030715 ,5873674 ,39427198 ,14681457 ,12230756 ,428296 ,533331 ,5094988 ,6458370 ,1681145 ,4777225 ,17946295 ,,,,,,,,
1998,57446913 ,26507565 ,14760423 ,422437 ,462341 ,6536868 ,8757279 ,1934521 ,6822757 ,40904938 ,15521832 ,12290073 ,335776 ,369181 ,5579291 ,6808785 ,1349711 ,5459073 ,16541975 ,,,,,,,,
1999,60020237 ,29016511 ,15299907 ,346827 ,410271 ,6647963 ,8298758 ,1823057 ,6475702 ,43069177 ,16700484 ,13048864 ,302780 ,331762 ,6051448 ,6633839 ,1328468 ,5305372 ,16951060 ,,,,,,,,
2000,61721150 ,31077256 ,15305826 ,331089 ,413706 ,6603048 ,7990225 ,1499065 ,6491159 ,45179587 ,18734118 ,13109115 ,306466 ,373949 ,5948925 ,6707014 ,1260327 ,5446687 ,16541563 ,,,,,,,,
2001,57760242 ,29091282 ,14134190 ,303261 ,400150 ,6142903 ,7688457 ,1550833 ,6137624 ,43108798 ,18364796 ,12165307 ,263230 ,365654 ,5600916 ,6348896 ,1271175 ,5077721 ,14651444 ,,,,,,,,
2002,58471088 ,29033518 ,14587800 ,314174 ,353074 ,6221632 ,7960890 ,1685019 ,6275871 ,44175694 ,18477874 ,12886011 ,256355 ,289299 ,5693632 ,6572522 ,1343347 ,5229175 ,14295394 ,,,,,,,,
2003,58782699 ,28023305 ,15589099 ,345733 ,311452 ,6507320 ,8005790 ,1725147 ,6280643 ,45036982 ,17947045 ,13948570 ,286753 ,265571 ,5984480 ,6604563 ,1386128 ,5218436 ,13745717 ,,,,,,,,
2004,62761989 ,30640704 ,16109009 ,308865 ,241453 ,6906206 ,8555752 ,1756681 ,6799071 ,48441764 ,19732132 ,14593692 ,271239 ,218537 ,6405086 ,7221078 ,1428858 ,5792219 ,14320225 ,,,,,,,,
2005,67687479 ,32699641 ,17117940 ,322994 ,230248 ,7181290 ,10135366 ,2056039 ,8079326 ,52704668 ,21292227 ,15616562 ,279300 ,211126 ,6762313 ,8543141 ,1672089 ,6871052 ,14982811 ,,,,,,,,
2006,69145854 ,32545981 ,18001415 ,344526 ,281515 ,7629733 ,10342683 ,2196241 ,8146442 ,54584048 ,21556959 ,16214912 ,290789 ,253444 ,7202566 ,9065377 ,1832907 ,7232470 ,14561806 ,,,,,,,,
2007,69135310 ,32153400 ,18014609 ,358256 ,323183 ,8105509 ,10180354 ,2234519 ,7945834 ,55100441 ,21656138 ,16179556 ,320391 ,295586 ,7691087 ,8957684 ,1920744 ,7036940 ,14034869 ,,,,,,,,
2008,63130133 ,29920873 ,16262552 ,304182 ,283277 ,7266911 ,9092338 ,1827085 ,7265254 ,49497350 ,19769002 ,14454539 ,264910 ,259180 ,6913451 ,7836269 ,1542932 ,6293338 ,13632783 ,,,,,,,,
2009,60255061 ,29318351 ,15186964 ,236118 ,222121 ,6821901 ,8469606 ,1672669 ,6796936 ,47121337 ,19377301 ,13385473 ,217484 ,205400 ,6512716 ,7422963 ,1427706 ,5995257 ,13133724 ,,,,,,,,
2010,64851434 ,31465500 ,16819519 ,242171 ,246903 ,7135082 ,9042257 ,1794596 ,7247660 ,49788584 ,20234742 ,14635954 ,223730 ,224852 ,6721038 ,7748268 ,1491872 ,6256396 ,15162850 ,,,,,,,,
2011,67825871 ,32477385 ,17540085 ,256888 ,263738 ,7597107 ,9690668 ,1896416 ,7794252 ,51839798 ,20837075 ,15064900 ,229049 ,239165 ,7129051 ,8340558 ,1574458 ,6766100 ,15986073 ,,,,,,,,
2012,73663903 ,35864092 ,18657257 ,258772 ,262733 ,8168533 ,10452516 ,2045639 ,8406878 ,54492680 ,21872182 ,15730209 ,227900 ,232068 ,7625463 ,8804859 ,1684023 ,7120836 ,19171224 ,,,,,,,,
